uid,tusername,rank,nodes,ways,relations,areas_way,areas_rel,lastedit
536199,ameyer3000,1648,1321,91,0,9,0,1371153588
719593,Carlozz,1627,1249,48,0,39,0,1397738093
626343,Zopieux,1616,1244,100,0,12,0,1344883715
127903,Mike Lehmann,1562,1265,76,7,1,0,1347645182
1810058,geomichele,1551,903,126,0,45,0,1385309912
645593,Viking81,1440,741,103,0,65,0,1385077778
1843978,meteosettimosp,1420,526,208,0,45,0,1388082664
77109,eknus,1399,1090,51,0,26,0,1386885330
161619,FvGordon,1390,598,101,41,17,3,1401740829
192395,BBO,1383,0,455,0,3,0,1331213923
206037,hurdygurdyman,1381,970,103,0,17,0,1342691415
29271,Rainer Hoerbe,1379,1217,34,0,10,0,1313188780
69736,Vincenzo,1353,873,88,0,36,0,1385649857
12514,ilveroluca,1340,986,114,0,2,0,1361267891
217070,Davio,1296,111,390,1,1,0,1399834750
1813458,Masare2,1281,576,88,1,71,1,1385071977
200245,docschenk,1278,969,93,0,5,0,1354570380
626549,CristianCantoro,1276,1132,30,0,9,0,1385255939
1831991,kimbosauro,1258,472,229,1,15,0,1398821291
817066,Urubko1,1227,1152,25,0,0,0,1377283947
1269770,MickyInTheSky,1213,799,51,1,41,1,1379845937
205254,Garminius,1212,993,46,1,11,1,1379881012
1986019,DiBiMedia,1123,670,143,0,4,0,1394991892
243831,Cadfael,1099,976,37,0,2,0,1311680589
45172,alaverde,1079,959,40,0,0,0,1349049032
1861262,Utente 11,1053,507,144,0,19,0,1390389870
429539,Cristian1989,1039,691,76,0,20,0,1361210912
1580969,C-P-M,1028,626,80,0,27,0,1378652903
418472,paneb,1026,984,6,0,4,0,1299938223
185843,ancucchi,1016,698,80,0,13,0,1327348320
122327,werthtobi,960,858,34,0,0,0,1386286160
388649,Luuuddooo,925,511,98,0,20,0,1371301240
587912,Davideddu,916,895,7,0,0,0,1361228351
139435,Haack70,909,876,11,0,0,0,1268503012
238168,mtozzi,892,751,39,0,4,0,1285316198
978113,marta-pili1985,888,534,88,0,15,0,1357729787
319295,s_bruegg,885,858,9,0,0,0,1287852829
132344,michelh,869,854,5,0,0,0,1279656391
45027,PA94,868,73,89,0,88,0,1331654950
175551,coso,867,507,102,0,9,0,1385220213
1951726,fudaz,851,176,214,3,1,0,1395406505
1189062,csmggl,847,364,67,0,47,0,1399806157
82241,terrencem,841,634,59,0,5,0,1335548968
346869,maiwolf,839,731,20,0,8,0,1343383874
1220229,Francyep,816,378,94,0,26,0,1363124809
1012699,Tore87,797,662,37,0,4,0,1357155490
1811663,lollops,796,562,44,0,17,0,1392369446
316232,Marsman,787,238,61,0,61,0,1291213037
1807255,rossella c,786,330,52,0,50,0,1385050749
70998,RPoenisch,775,727,14,0,1,0,1334895990
579545,Aury88,768,585,53,0,4,0,1393953092
137,simone,767,566,39,0,14,0,1401709813
612325,Wim RM Dekeyser,765,606,25,0,14,0,1389443001
323641,GeofixFe,756,639,21,0,9,0,1390061742
1272712,kaki007,745,631,34,0,2,0,1388939868
1420956,DimerG,734,431,59,0,21,0,1382953693
69259,DnaX,721,481,70,0,5,0,1374929942
15480,labelche,720,717,1,0,0,0,1231529111
1054945,annazanchetta,715,325,49,1,38,1,1386752109
1051748,Sgna,715,364,78,3,12,3,1379642815
1475114,cibboy,709,451,54,0,16,0,1380711511
355405,zomiz,703,607,20,0,6,0,1320969591
152676,pfranz,701,614,29,0,0,0,1293814775
1783552,lucaspanu,698,383,65,0,20,0,1382556272
1065211,alexbit,697,355,38,0,38,0,1385556221
485128,schdenis,688,424,42,0,23,0,1339618343
1806050,mfortini,681,288,53,0,39,0,1385040130
356438,Alex10,665,491,52,0,3,0,1394917961
1411380,TimoLinow,654,555,31,0,1,0,1371836034
624478,Franco61,647,383,84,0,2,0,1332060535
24143,Paolo Molaro,640,457,61,0,0,0,1251739521
328134,30x26,635,620,5,0,0,0,1341168533
519501,parukhin,607,121,111,1,23,1,1398700084
125687,tubeli,600,600,0,0,0,0,1276340003
788014,LLlypuk82,596,251,39,0,38,0,1379944804
42033,Tbj,592,379,69,0,1,0,1253892128
1352904,street0501,586,433,17,0,17,0,1366142614
92030,joku68,579,453,38,0,2,0,1383315073
978109,fedefede,574,508,8,0,7,0,1355148158
655382,pelatom,565,520,15,0,0,0,1384859203
104127,dibu10,565,460,35,0,0,0,1284563600
176212,marco69,559,514,9,0,3,0,1345229185
574713,schrammi1967,557,362,35,0,15,0,1325244257
633286,VladaK,554,329,33,0,21,0,1347307892
53936,elsaxo,554,440,32,0,3,0,1344597850
1806453,feli_caxa,551,323,76,0,0,0,1384958852
352762,dargaud,538,463,25,0,0,0,1352998546
911086,ulver80,537,333,56,0,6,0,1356644225
308,MichaelCollinson,531,375,22,0,15,0,1390640663
177686,Cho,522,459,11,0,5,0,1325845265
78730,tippeltappel,518,488,8,0,1,0,1299019820
1795953,AZonzo,518,302,46,0,13,0,1386177200
1026265,Andrea Branca,518,266,34,0,25,0,1353331204
565471,bebbi,513,486,9,0,0,0,1357135920
1212637,gabriele90,509,410,19,0,7,0,1359484753
520871,joersch,502,391,23,0,7,0,1330370189
416000,Ostia,499,157,38,0,38,0,1352744668
914732,Melonierto,499,418,22,1,1,0,1348914985
129061,Singvogel,493,325,42,0,7,0,1331459854
137817,carlitos82,490,412,24,0,1,0,1369466772
430123,sibio,483,423,20,0,0,0,1302207064
531365,jdieckow,469,262,59,0,5,0,1342389877
107211,BoncatLogger,461,458,1,0,0,0,1243192803
323702,ybon,459,447,4,0,0,0,1392923433
29717,eumiro,459,204,75,0,5,0,1401912479
127999,kaihs,448,208,43,3,14,0,1335801307
322076,hans_hans,439,250,49,0,7,0,1367912502
1931823,johk,438,246,28,0,18,0,1392237877
1293386,Sal73x,437,212,35,0,20,0,1392276886
130691,StefanoCudini,437,242,33,0,16,0,1378925351
173791,bubeck,424,253,31,0,13,0,1378153408
1860406,francesco747,419,146,31,0,30,0,1392048492
1805101,MapMaker23,409,160,29,0,27,0,1386289413
